K,Lambda,Gamma,Shrink,Epoch,Mean_RMSE,Std_RMSE
64,0.001000,0.002000,0.900000,30,0.993330,0.002531
64,0.001000,0.002000,0.900000,35,0.993294,0.002536
64,0.001000,0.002000,0.900000,40,0.993271,0.002538
64,0.001000,0.002000,0.900000,45,0.993257,0.002540
64,0.001000,0.002000,0.900000,50,0.993248,0.002541
64,0.001000,0.002000,0.925000,5,0.993646,0.002490
64,0.001000,0.002000,0.925000,10,0.993580,0.002487
64,0.001000,0.002000,0.925000,15,0.993407,0.002477
64,0.001000,0.002000,0.925000,20,0.993108,0.002459
64,0.001000,0.002000,0.925000,25,0.992729,0.002438
64,0.001000,0.002000,0.925000,30,0.992339,0.002417
64,0.001000,0.002000,0.925000,35,0.991995,0.002401
64,0.001000,0.002000,0.925000,40,0.991718,0.002388
64,0.001000,0.002000,0.925000,45,0.991507,0.002380
64,0.001000,0.002000,0.925000,50,0.991354,0.002374
64,0.001000,0.002000,0.950000,5,0.993642,0.002489
64,0.001000,0.002000,0.950000,10,0.993518,0.002480
64,0.001000,0.002000,0.950000,15,0.992977,0.002437
64,0.001000,0.002000,0.950000,20,0.991462,0.002352
64,0.001000,0.002000,0.950000,25,0.988870,0.002321
64,0.001000,0.002000,0.950000,30,0.986116,0.002389
64,0.001000,0.002000,0.950000,35,0.984042,0.002493
64,0.001000,0.002000,0.950000,40,0.982690,0.002584
64,0.001000,0.002000,0.950000,45,0.981796,0.002647
64,0.001000,0.002000,0.950000,50,0.981163,0.002686
64,0.001000,0.002000,0.975000,5,0.993641,0.002490
64,0.001000,0.002000,0.975000,10,0.993439,0.002498
64,0.001000,0.002000,0.975000,15,0.991860,0.002574
64,0.001000,0.002000,0.975000,20,0.986115,0.002698
64,0.001000,0.002000,0.975000,25,0.980957,0.002554
64,0.001000,0.002000,0.975000,30,0.977262,0.002587
64,0.001000,0.002000,0.975000,35,0.973650,0.002727
64,0.001000,0.002000,0.975000,40,0.970849,0.002829
64,0.001000,0.002000,0.975000,45,0.968820,0.002858
64,0.001000,0.002000,0.975000,50,0.967335,0.002836
64,0.001000,0.002000,1.000000,5,0.993638,0.002489
64,0.001000,0.002000,1.000000,10,0.993262,0.002471
64,0.001000,0.002000,1.000000,15,0.988322,0.002411
64,0.001000,0.002000,1.000000,20,0.979238,0.002834
64,0.001000,0.002000,1.000000,25,0.971698,0.002903
64,0.001000,0.002000,1.000000,30,0.966386,0.002742
64,0.001000,0.002000,1.000000,35,0.963135,0.002567
64,0.001000,0.002000,1.000000,40,0.961656,0.002470
64,0.001000,0.002000,1.000000,45,0.961087,0.002471
64,0.001000,0.002000,1.000000,46,0.962678,0.001588
64,0.001000,0.002000,1.000000,47,0.959839,0.000000
