K,Lambda,Gamma,Shrink,Mean_RMSE,Std_RMSE,Mean_CPU,Std_CPU
64,0.002000,0.010000,0.975000,0.948269,0.002225,100.990372,2.069078
64,0.002000,0.010000,1.000000,0.948668,0.002047,71.467256,1.108317
64,0.002000,0.020000,0.750000,0.980748,0.002678,93.350178,2.256168
64,0.002000,0.020000,0.775000,0.979094,0.002715,105.534871,1.104857
64,0.002000,0.020000,0.800000,0.977144,0.002666,117.281870,2.249555
64,0.002000,0.020000,0.825000,0.975001,0.002739,133.254035,2.401134
64,0.002000,0.020000,0.850000,0.972395,0.002680,153.806343,2.551931
64,0.002000,0.020000,0.875000,0.969160,0.002587,153.907282,2.329459
64,0.002000,0.020000,0.900000,0.964549,0.002443,153.691052,3.019315
64,0.002000,0.020000,0.925000,0.958462,0.002297,154.045410,1.818813
64,0.002000,0.020000,0.950000,0.950981,0.002200,154.059960,2.876258
64,0.002000,0.020000,0.975000,0.945755,0.002104,153.425103,3.159478
64,0.002000,0.020000,1.000000,0.946417,0.002182,92.169916,1.602384
64,0.002000,0.050000,0.750000,0.983144,0.002624,89.904342,1.350756
64,0.002000,0.050000,0.775000,0.981855,0.002547,102.109870,1.698087
64,0.002000,0.050000,0.800000,0.980407,0.002637,114.489524,1.199940
64,0.002000,0.050000,0.825000,0.978591,0.002712,129.860343,1.672180
64,0.002000,0.050000,0.850000,0.976438,0.002652,151.063073,2.976348
64,0.002000,0.050000,0.875000,0.973797,0.002679,154.396590,1.767567
64,0.002000,0.050000,0.900000,0.970706,0.002551,154.103499,2.412275
64,0.002000,0.050000,0.925000,0.966092,0.002503,154.859230,1.066291
64,0.002000,0.050000,0.950000,0.959567,0.002451,154.319653,2.629363
64,0.002000,0.050000,0.975000,0.951483,0.002321,154.616366,2.261071
64,0.002000,0.050000,1.000000,0.945421,0.002232,154.302862,2.703468
64,0.002000,0.100000,0.750000,0.986476,0.002514,89.570598,1.638551
64,0.002000,0.100000,0.775000,0.985469,0.002526,99.216878,1.520966
64,0.002000,0.100000,0.800000,0.984312,0.002658,111.464618,1.959740
64,0.002000,0.100000,0.825000,0.982948,0.002563,126.273175,2.961321
