K,Lambda,Gamma,Shrink,Epoch,Mean_RMSE,Std_RMSE
64,0.001000,0.002000,0.950000,5,0.988772,0.002522
64,0.001000,0.002000,0.950000,10,0.981180,0.002518
64,0.001000,0.002000,0.950000,15,0.976405,0.002581
64,0.001000,0.002000,0.950000,20,0.973353,0.002529
64,0.001000,0.002000,0.950000,25,0.971236,0.002449
64,0.001000,0.002000,0.950000,30,0.969582,0.002392
64,0.001000,0.002000,0.950000,35,0.968275,0.002353
64,0.001000,0.002000,0.950000,40,0.967259,0.002328
64,0.001000,0.002000,0.950000,45,0.966480,0.002310
64,0.001000,0.002000,0.950000,50,0.965884,0.002296
64,0.001000,0.002000,0.950000,55,0.965427,0.002287
64,0.001000,0.002000,0.950000,60,0.965078,0.002280
64,0.001000,0.002000,0.950000,65,0.964809,0.002275
64,0.001000,0.002000,0.950000,70,0.964603,0.002271
64,0.001000,0.002000,0.950000,75,0.964446,0.002269
64,0.001000,0.002000,0.950000,80,0.964325,0.002267
64,0.001000,0.002000,0.950000,85,0.964233,0.002266
64,0.001000,0.002000,0.950000,90,0.964162,0.002265
64,0.001000,0.002000,0.950000,95,0.964108,0.002264
64,0.001000,0.002000,0.950000,100,0.964067,0.002264
64,0.001000,0.002000,0.975000,5,0.988271,0.002415
64,0.001000,0.002000,0.975000,10,0.979496,0.002564
64,0.001000,0.002000,0.975000,15,0.973673,0.002538
64,0.001000,0.002000,0.975000,20,0.969487,0.002419
64,0.001000,0.002000,0.975000,25,0.965749,0.002297
64,0.001000,0.002000,0.975000,30,0.962643,0.002217
64,0.001000,0.002000,0.975000,35,0.960095,0.002181
64,0.001000,0.002000,0.975000,40,0.958009,0.002163
64,0.001000,0.002000,0.975000,45,0.956317,0.002150
64,0.001000,0.002000,0.975000,50,0.954952,0.002140
64,0.001000,0.002000,0.975000,55,0.953853,0.002130
64,0.001000,0.002000,0.975000,60,0.952965,0.002120
64,0.001000,0.002000,0.975000,65,0.952245,0.002111
64,0.001000,0.002000,0.975000,70,0.951659,0.002102
64,0.001000,0.002000,0.975000,75,0.951180,0.002093
64,0.001000,0.002000,0.975000,80,0.950788,0.002084
64,0.001000,0.002000,0.975000,85,0.950465,0.002077
64,0.001000,0.002000,0.975000,90,0.950199,0.002069
64,0.001000,0.002000,0.975000,95,0.949980,0.002062
64,0.001000,0.002000,0.975000,100,0.949797,0.002055
64,0.001000,0.002000,1.000000,5,0.987658,0.002415
64,0.001000,0.002000,1.000000,10,0.977751,0.002647
64,0.001000,0.002000,1.000000,15,0.970762,0.002505
64,0.001000,0.002000,1.000000,20,0.964393,0.002304
64,0.001000,0.002000,1.000000,25,0.958820,0.002190
64,0.001000,0.002000,1.000000,30,0.954316,0.002135
64,0.001000,0.002000,1.000000,35,0.951132,0.002077
64,0.001000,0.002000,1.000000,40,0.949316,0.002010
64,0.001000,0.002000,1.000000,44,0.947544,0.000412
64,0.001000,0.002000,1.000000,45,0.950355,0.001909
64,0.001000,0.005000,0.750000,5,0.992349,0.002453
64,0.001000,0.005000,0.750000,10,0.990821,0.002431
64,0.001000,0.005000,0.750000,15,0.990368,0.002423
64,0.001000,0.005000,0.750000,20,0.990259,0.002421
64,0.001000,0.005000,0.750000,25,0.990232,0.002420
64,0.001000,0.005000,0.750000,28,0.987312,0.000000
64,0.001000,0.005000,0.750000,29,0.990552,0.002336
64,0.001000,0.005000,0.775000,5,0.992068,0.002466
64,0.001000,0.005000,0.775000,10,0.989956,0.002428
64,0.001000,0.005000,0.775000,15,0.989299,0.002417
64,0.001000,0.005000,0.775000,20,0.989117,0.002414
64,0.001000,0.005000,0.775000,25,0.989066,0.002413
64,0.001000,0.005000,0.775000,30,0.989052,0.002413
64,0.001000,0.005000,0.775000,32,0.989332,0.002746
64,0.001000,0.005000,0.775000,33,0.988393,0.001095
64,0.001000,0.005000,0.800000,5,0.991757,0.002492
64,0.001000,0.005000,0.800000,10,0.988985,0.002431
64,0.001000,0.005000,0.800000,15,0.988052,0.002409
64,0.001000,0.005000,0.800000,20,0.987749,0.002405
64,0.001000,0.005000,0.800000,25,0.987651,0.002404
64,0.001000,0.005000,0.800000,30,0.987618,0.002403
64,0.001000,0.005000,0.800000,35,0.987608,0.002403
64,0.001000,0.005000,0.800000,36,0.987100,0.002875
64,0.001000,0.005000,0.800000,37,0.987824,0.002133
64,0.001000,0.005000,0.825000,5,0.991388,0.002521
64,0.001000,0.005000,0.825000,10,0.987973,0.002490
