Sender: LSF System <lsfadmin@e2089>
Subject: Job 8116465: <matlab -nodisplay -singleCompThread -r GridSearch_ComputeBiases> in cluster <euler> Done

Job <matlab -nodisplay -singleCompThread -r GridSearch_ComputeBiases> was submitted from host <euler04> by user <dojan> in cluster <euler>.
Job was executed on host(s) <10*e2089>, in queue <normal.4h>, as user <dojan> in cluster <euler>.
</cluster/home/dojan> was used as the home directory.
</cluster/home/dojan/cil/cil_2015_nstd_git/project/src> was used as the working directory.
Started at Wed Jun 17 15:05:14 2015
Results reported on Wed Jun 17 15:18:20 2015

Your job looked like:

------------------------------------------------------------
# LSBATCH: User input
matlab -nodisplay -singleCompThread -r GridSearch_ComputeBiases
------------------------------------------------------------

Successfully completed.

Resource usage summary:

    CPU time :               5287.83 sec.
    Max Memory :             7442 MB
    Average Memory :         4032.48 MB
    Total Requested Memory : 10240.00 MB
    Delta Memory :           2798.00 MB
    (Delta: the difference between Total Requested Memory and Max Memory.)
    Max Swap :               2 MB
    Max Processes :          27
    Max Threads :            339

The output (if any) follows:


                            < M A T L A B (R) >
                  Copyright 1984-2013 The MathWorks, Inc.
                    R2013b (8.2.0.701) 64-bit (glnxa64)
                              August 13, 2013


To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.

Starting parallel pool (parpool) using the 'local' profile ... connected to 10 workers.
Grid Search Compute Biases
Lambda_1,Lambda_2,Mean_RMSE,Std_RMSE,Mean_CPU,Std_CPU
6,6,0.993771,0.002635,0.563031,0.084602
6,7,0.993745,0.002633,0.555387,0.050005
6,8,0.993726,0.002630,0.598595,0.128825
6,9,0.993713,0.002628,0.620985,0.167733
6,10,0.993705,0.002626,0.599937,0.121674
6,11,0.993702,0.002624,0.559446,0.053944
6,12,0.993705,0.002622,0.558542,0.054378
6,13,0.993711,0.002621,0.558592,0.054421
6,14,0.993722,0.002619,0.560244,0.050197
6,15,0.993736,0.002617,0.559133,0.052574
6,16,0.993754,0.002616,0.555308,0.048585
6,17,0.993775,0.002614,0.603276,0.130360
6,18,0.993799,0.002613,0.577299,0.064657
6,19,0.993826,0.002612,0.548197,0.045385
6,20,0.993856,0.002611,0.550457,0.048200
7,0,0.994117,0.002656,0.546292,0.042367
7,1,0.994033,0.002652,0.564227,0.051351
7,2,0.993963,0.002648,0.552538,0.047755
7,3,0.993903,0.002644,0.558911,0.054000
7,4,0.993854,0.002641,0.561756,0.054614
7,5,0.993813,0.002638,0.557068,0.052894
7,6,0.993780,0.002635,0.555547,0.051445
7,7,0.993754,0.002633,0.560473,0.054114
7,8,0.993735,0.002630,0.557463,0.051485
7,9,0.993722,0.002628,0.556252,0.050039
7,10,0.993714,0.002626,0.552657,0.049071
7,11,0.993712,0.002624,0.548311,0.045723
7,12,0.993714,0.002622,0.548822,0.046742
7,13,0.993721,0.002621,0.545969,0.047300
7,14,0.993731,0.002619,0.546344,0.044903
7,15,0.993746,0.002617,0.546813,0.046275
7,16,0.993763,0.002616,0.549257,0.047055
7,17,0.993784,0.002615,0.545460,0.045662
7,18,0.993809,0.002613,0.546208,0.045929
7,19,0.993836,0.002612,0.548972,0.046462
7,20,0.993865,0.002611,0.547741,0.045465
8,0,0.994127,0.002656,0.553605,0.052196
8,1,0.994043,0.002652,0.546623,0.044759
8,2,0.993973,0.002648,0.545903,0.045719
8,3,0.993913,0.002644,0.568628,0.045836
8,4,0.993864,0.002641,0.588006,0.050641
8,5,0.993823,0.002638,0.581091,0.113474
8,6,0.993790,0.002635,0.564994,0.064852
8,7,0.993764,0.002633,0.554253,0.049755
8,8,0.993745,0.002630,0.582090,0.133900
8,9,0.993732,0.002628,0.550308,0.048019
8,10,0.993724,0.002626,0.557271,0.053359
8,11,0.993722,0.002624,0.566190,0.067140
8,12,0.993724,0.002622,0.546296,0.042784
8,13,0.993730,0.002621,0.548278,0.046773
8,14,0.993741,0.002619,0.599755,0.113895
8,15,0.993755,0.002618,0.572619,0.056800
8,16,0.993773,0.002616,0.550720,0.048434
8,17,0.993794,0.002615,0.559957,0.052968
8,18,0.993819,0.002613,0.557264,0.049598
8,19,0.993845,0.002612,0.568372,0.053939
8,20,0.993875,0.002611,0.560868,0.052649
9,0,0.994137,0.002656,0.552628,0.048459
9,1,0.994054,0.002652,0.554671,0.051154
9,2,0.993983,0.002648,0.549064,0.047609
9,3,0.993924,0.002644,0.603186,0.123595
9,4,0.993874,0.002641,0.551319,0.047562
9,5,0.993833,0.002638,0.549353,0.046506
9,6,0.993801,0.002635,0.560947,0.054777
9,7,0.993775,0.002633,0.562155,0.054290
9,8,0.993756,0.002631,0.624724,0.122290
9,9,0.993742,0.002628,0.585776,0.090401
9,10,0.993735,0.002626,0.562434,0.050943
9,11,0.993732,0.002624,0.598032,0.115151
9,12,0.993734,0.002623,0.551452,0.043600
9,13,0.993741,0.002621,0.553744,0.049207
9,14,0.993751,0.002619,0.584618,0.115762
9,15,0.993766,0.002618,0.555357,0.051702
9,16,0.993784,0.002616,0.547176,0.045748
9,17,0.993805,0.002615,0.552182,0.046177
9,18,0.993829,0.002614,0.604327,0.122489
9,19,0.993856,0.002612,0.564586,0.059949
9,20,0.993886,0.002611,0.552790,0.050619
10,0,0.994148,0.002656,0.548944,0.048349
10,1,0.994065,0.002652,0.551582,0.048373
10,2,0.993994,0.002648,0.548965,0.046330
10,3,0.993935,0.002645,0.553877,0.050238
10,4,0.993885,0.002641,0.554674,0.049364
10,5,0.993844,0.002638,0.586441,0.122896
10,6,0.993812,0.002636,0.561901,0.054837
10,7,0.993786,0.002633,0.558164,0.053945
10,8,0.993766,0.002631,0.548450,0.046717
10,9,0.993753,0.002629,0.550101,0.047558
