K,Lambda,Gamma,Shrink,Mean_RMSE,Std_RMSE,Mean_CPU,Std_CPU
64,0.002000,0.005000,1.000000,0.957021,0.002526,18.103254,1.020343
64,0.002000,0.010000,0.750000,0.956097,0.002504,99.482228,5.740325
64,0.002000,0.010000,0.775000,0.955308,0.002332,95.163291,6.566620
64,0.002000,0.010000,0.800000,0.955409,0.002345,46.243303,3.557986
64,0.002000,0.010000,0.825000,0.955306,0.002363,34.996525,2.417651
64,0.002000,0.010000,0.850000,0.955319,0.002447,29.533382,2.462726
64,0.002000,0.010000,0.875000,0.955335,0.002554,26.749577,1.703779
64,0.002000,0.010000,0.900000,0.955484,0.002334,25.436130,1.680169
64,0.002000,0.010000,0.925000,0.955639,0.002383,23.722911,1.916978
64,0.002000,0.010000,0.950000,0.955510,0.002428,21.787694,1.122302
64,0.002000,0.010000,0.975000,0.955682,0.002368,21.756988,1.204093
64,0.002000,0.010000,1.000000,0.955864,0.002445,21.837514,1.064447
64,0.002000,0.020000,0.750000,0.955980,0.002566,104.864428,5.378961
64,0.002000,0.020000,0.775000,0.954535,0.002410,113.340549,6.518606
64,0.002000,0.020000,0.800000,0.953568,0.002455,114.791398,7.568275
64,0.002000,0.020000,0.825000,0.953171,0.002346,60.485342,8.113826
64,0.002000,0.020000,0.850000,0.953371,0.002433,40.769226,2.915347
64,0.002000,0.020000,0.875000,0.953349,0.002431,34.318595,2.275634
64,0.002000,0.020000,0.900000,0.953214,0.002424,31.505285,2.084080
64,0.002000,0.020000,0.925000,0.953427,0.002340,28.404167,1.392990
64,0.002000,0.020000,0.950000,0.953542,0.002504,25.069947,1.331485
64,0.002000,0.020000,0.975000,0.953602,0.002400,25.207965,1.210700
64,0.002000,0.020000,1.000000,0.953789,0.002362,23.764009,1.826390
64,0.002000,0.050000,0.750000,0.958616,0.002596,108.174159,6.962190
64,0.002000,0.050000,0.775000,0.956636,0.002553,118.201472,5.970940
64,0.002000,0.050000,0.800000,0.954530,0.002480,131.393746,6.370439
64,0.002000,0.050000,0.825000,0.952227,0.002441,147.230275,6.545910
64,0.002000,0.050000,0.850000,0.950101,0.002460,165.850097,7.805524
64,0.002000,0.050000,0.875000,0.948422,0.002380,172.647763,10.069460
64,0.002000,0.050000,0.900000,0.947623,0.002259,149.613703,19.912586
64,0.002000,0.050000,0.925000,0.947573,0.002351,70.346098,5.227312
64,0.002000,0.050000,0.950000,0.947781,0.002363,51.850508,3.235771
64,0.002000,0.050000,0.975000,0.947916,0.002210,44.503953,2.943920
64,0.002000,0.050000,1.000000,0.948011,0.002147,39.231747,3.152493
64,0.002000,0.100000,0.750000,0.966291,0.002734,110.828537,6.108579
64,0.002000,0.100000,0.775000,0.963843,0.002658,120.788677,4.979055
64,0.002000,0.100000,0.800000,0.961237,0.002544,133.488366,6.723515
64,0.002000,0.100000,0.825000,0.958963,0.002562,146.746424,8.615867
