K,Lambda,Gamma,Shrink,Epoch,Mean_RMSE,Std_RMSE
64,0.001000,0.005000,0.950000,45,0.963043,0.002182
64,0.001000,0.005000,0.950000,50,0.962441,0.002171
64,0.001000,0.005000,0.975000,5,0.986698,0.002506
64,0.001000,0.005000,0.975000,10,0.977496,0.002604
64,0.001000,0.005000,0.975000,15,0.971105,0.002525
64,0.001000,0.005000,0.975000,20,0.966203,0.002379
64,0.001000,0.005000,0.975000,25,0.962296,0.002286
64,0.001000,0.005000,0.975000,30,0.959189,0.002235
64,0.001000,0.005000,0.975000,35,0.956732,0.002207
64,0.001000,0.005000,0.975000,40,0.954829,0.002193
64,0.001000,0.005000,0.975000,45,0.953377,0.002184
64,0.001000,0.005000,0.975000,50,0.952279,0.002176
64,0.001000,0.005000,1.000000,5,0.986248,0.002458
64,0.001000,0.005000,1.000000,10,0.975547,0.002487
64,0.001000,0.005000,1.000000,15,0.967663,0.002304
64,0.001000,0.005000,1.000000,20,0.961082,0.002162
64,0.001000,0.005000,1.000000,25,0.955707,0.002101
64,0.001000,0.005000,1.000000,30,0.952017,0.002068
64,0.001000,0.005000,1.000000,35,0.950203,0.002052
64,0.001000,0.005000,1.000000,38,0.949838,0.001812
64,0.001000,0.005000,1.000000,39,0.950683,0.002706
64,0.001000,0.010000,0.750000,5,0.991722,0.002464
64,0.001000,0.010000,0.750000,10,0.989756,0.002451
64,0.001000,0.010000,0.750000,15,0.989224,0.002447
64,0.001000,0.010000,0.750000,20,0.989097,0.002446
64,0.001000,0.010000,0.750000,25,0.989067,0.002446
64,0.001000,0.010000,0.750000,29,0.988985,0.002765
64,0.001000,0.010000,0.750000,30,0.989137,0.002077
64,0.001000,0.010000,0.775000,5,0.991365,0.002457
64,0.001000,0.010000,0.775000,10,0.988764,0.002451
64,0.001000,0.010000,0.775000,15,0.988007,0.002453
64,0.001000,0.010000,0.775000,20,0.987800,0.002455
64,0.001000,0.010000,0.775000,25,0.987743,0.002455
64,0.001000,0.010000,0.775000,30,0.987726,0.002455
64,0.001000,0.010000,0.775000,33,0.987724,0.002455
64,0.001000,0.010000,0.800000,5,0.991038,0.002544
64,0.001000,0.010000,0.800000,10,0.987754,0.002467
64,0.001000,0.010000,0.800000,15,0.986724,0.002448
64,0.001000,0.010000,0.800000,20,0.986402,0.002444
64,0.001000,0.010000,0.800000,25,0.986298,0.002443
64,0.001000,0.010000,0.800000,30,0.986265,0.002443
64,0.001000,0.010000,0.800000,35,0.986253,0.002443
64,0.001000,0.010000,0.800000,36,0.983451,0.000000
64,0.001000,0.010000,0.800000,37,0.986564,0.002379
64,0.001000,0.010000,0.825000,5,0.990532,0.002390
64,0.001000,0.010000,0.825000,10,0.986650,0.002432
64,0.001000,0.010000,0.825000,15,0.985340,0.002443
64,0.001000,0.010000,0.825000,20,0.984874,0.002447
64,0.001000,0.010000,0.825000,25,0.984701,0.002449
64,0.001000,0.010000,0.825000,30,0.984636,0.002449
64,0.001000,0.010000,0.825000,35,0.984611,0.002449
64,0.001000,0.010000,0.825000,40,0.984602,0.002449
64,0.001000,0.010000,0.825000,41,0.987873,0.000354
64,0.001000,0.010000,0.825000,42,0.983783,0.002031
64,0.001000,0.010000,0.850000,5,0.990030,0.002398
64,0.001000,0.010000,0.850000,10,0.985392,0.002352
64,0.001000,0.010000,0.850000,15,0.983720,0.002372
64,0.001000,0.010000,0.850000,20,0.983026,0.002380
64,0.001000,0.010000,0.850000,25,0.982723,0.002383
64,0.001000,0.010000,0.850000,30,0.982591,0.002384
64,0.001000,0.010000,0.850000,35,0.982532,0.002385
64,0.001000,0.010000,0.850000,40,0.982506,0.002385
64,0.001000,0.010000,0.850000,45,0.982494,0.002385
64,0.001000,0.010000,0.850000,48,0.982622,0.002635
64,0.001000,0.010000,0.850000,49,0.981969,0.000586
64,0.001000,0.010000,0.875000,5,0.989456,0.002432
64,0.001000,0.010000,0.875000,10,0.984166,0.002454
64,0.001000,0.010000,0.875000,15,0.982014,0.002456
64,0.001000,0.010000,0.875000,20,0.980909,0.002457
64,0.001000,0.010000,0.875000,25,0.980339,0.002460
64,0.001000,0.010000,0.875000,30,0.980049,0.002461
64,0.001000,0.010000,0.875000,35,0.979901,0.002462
64,0.001000,0.010000,0.875000,40,0.979825,0.002463
64,0.001000,0.010000,0.875000,45,0.979786,0.002463
64,0.001000,0.010000,0.875000,50,0.979767,0.002463
64,0.001000,0.010000,0.900000,5,0.988959,0.002583
64,0.001000,0.010000,0.900000,10,0.982942,0.002525
64,0.001000,0.010000,0.900000,15,0.979952,0.002512
64,0.001000,0.010000,0.900000,20,0.978228,0.002524
64,0.001000,0.010000,0.900000,25,0.977254,0.002535
64,0.001000,0.010000,0.900000,30,0.976698,0.002541
64,0.001000,0.010000,0.900000,35,0.976378,0.002545
64,0.001000,0.010000,0.900000,40,0.976193,0.002546
64,0.001000,0.010000,0.900000,45,0.976084,0.002547
64,0.001000,0.010000,0.900000,50,0.976021,0.002548
64,0.001000,0.010000,0.925000,5,0.988391,0.002547
64,0.001000,0.010000,0.925000,10,0.981469,0.002485
64,0.001000,0.010000,0.925000,15,0.977474,0.002506
64,0.001000,0.010000,0.925000,20,0.975036,0.002520
64,0.001000,0.010000,0.925000,25,0.973522,0.002507
64,0.001000,0.010000,0.925000,30,0.972546,0.002489
64,0.001000,0.010000,0.925000,35,0.971902,0.002475
64,0.001000,0.010000,0.925000,40,0.971472,0.002465
64,0.001000,0.010000,0.925000,45,0.971185,0.002458
64,0.001000,0.010000,0.925000,50,0.970993,0.002453
64,0.001000,0.010000,0.950000,5,0.987745,0.002503
64,0.001000,0.010000,0.950000,10,0.979921,0.002566
64,0.001000,0.010000,0.950000,15,0.974872,0.002579
64,0.001000,0.010000,0.950000,20,0.971549,0.002502
64,0.001000,0.010000,0.950000,25,0.969155,0.002425
64,0.001000,0.010000,0.950000,30,0.967361,0.002368
64,0.001000,0.010000,0.950000,35,0.966014,0.002328
64,0.001000,0.010000,0.950000,40,0.965002,0.002300
